title,authors,url,year
Appendix4: Medical Acarology and Entomology,"Graham B. White, Christina Faust",https://www.sciencedirect.com/science/article/pii/B9780702079597000889/pdfft?md5=edc805635be24a4f7053efacdb482199&pid=3-s2.0-B9780702079597000889-main.pdf,2024
"Effect of mineral dusts alone and in combination with the entomopathogenic fungusBeauveria bassiana(Bals.) Vuill. against the bark beetleIps typographusL. (Col., Scolytidae) in the laboratory and under field conditions","Jürgen Kreutz, Ortwin Vaupel, Gisbert Zimmermann",https://www.sciencedirect.com/science/article/pii/S0378112722002195/pdfft?md5=eeb3ccbd7b71603a3db67a9603bf948d&pid=1-s2.0-S0378112722002195-main.pdf,2022
Parasitic Eye Infections,"Pauline Khoo, Maria Cabrera-Aguas, Stephanie L Watson",https://www.sciencedirect.com/science/article/pii/B9780128187319001208/pdfft?md5=46fb794aab0d2a9ce8d8452f6e95a929&pid=3-s2.0-B9780128187319001208-main.pdf,2022
Endemic or regionally limited parasitic and fungal infections in haematopoietic stem-cell transplantation recipients: a Worldwide Network for Blood and Marrow Transplantation (WBMT) Review,"Ibrahim N Muhsen, Sebastian Galeano, Mahmoud Aljurf",No URL found,2023
Family cluster of Chagas disease among Bolivian immigrants in Italy: High rate of maternal-fetal transmission,"Spinello Antinori, Laura Galimberti, Anna Lisa Ridolfo",https://www.sciencedirect.com/science/article/pii/S1477893922001168/pdfft?md5=755e0b21b1b4eac74816839b35dbb85f&pid=1-s2.0-S1477893922001168-main.pdf,2022
"Climate change and zoonoses: A review of the current status, knowledge gaps, and future trends","Ruwini Rupasinghe, Bruno B. Chomel, Beatriz Martínez-López",https://www.sciencedirect.com/science/article/pii/S0001706X21004034/pdfft?md5=e1ab7a10caf9699f84616fb4891a35d8&pid=1-s2.0-S0001706X21004034-main.pdf,2022
Chapter 2: Global Infectious Diseases: Four Steps Toward a Differential Diagnosis,"Saif Al-Bedwawi, Amanda Huston",https://www.sciencedirect.com/science/article/pii/B9780323794121000023/pdfft?md5=6ec7aa6f09e98f5790ee3202cb4534d7&pid=3-s2.0-B9780323794121000023-main.pdf,2023
Bed Bugs and Bat Bugs (Cimicidae and Polyctenidae),"Mariano Cáceres, Pablo L. Santo Orihuela, Claudia V. Vassena",https://www.sciencedirect.com/science/article/pii/B9780128187319000094/pdfft?md5=cf06e2795385e29c06ccd2a7f86e9f75&pid=3-s2.0-B9780128187319000094-main.pdf,2022
Insight into hazard and control of transfusion-transmitted infections in Egypt: A narrative review,"Hazem A. Sayed Ahmed, Noha Kamel, Eman Mohamed Mahfouz",https://www.sciencedirect.com/science/article/pii/S1473050224001332/pdfft?md5=205cd4a065d6ab4de43a30cd86c6d608&pid=1-s2.0-S1473050224001332-main.pdf,2024
275:TrypanosomaSpecies (Trypanosomiasis),"Julia C. Haston, Andres F. Camacho-Gonzalez",https://www.sciencedirect.com/science/article/pii/B9780323756082002755/pdfft?md5=d215b9cb0aecebfe012b9d1e551e03d1&pid=3-s2.0-B9780323756082002755-main.pdf,2023
"Exploring the role of glycoprotein hormone GPA2/GPB5 in the medically important insect,Rhodnius prolixus","Areej N. Al-Dailami, Jimena Leyria, Angela B. Lange",https://www.sciencedirect.com/science/article/pii/S0196978121002187/pdfft?md5=7ed6c534017b0b7578e4e86d61090ad9&pid=1-s2.0-S0196978121002187-main.pdf,2022
Challenges of addressing neglected tropical diseases amidst the COVID-19 pandemic in Africa: A case of Chagas Disease,"Aishwarya Umesh Pradhan, Olivier Uwishema, Helen Onyeaka",https://www.sciencedirect.com/science/article/pii/S2049080122011748/pdfft?md5=bac6a44aa3b1047ad220ba9d59047ba2&pid=1-s2.0-S2049080122011748-main.pdf,2022
"Identification of a tachykinin receptor and its implication in carbohydrate and lipid homeostasis inRhodnius prolixus, a chagas disease vector","A. N. Haddad, J. Leyria, A. B. Lange",https://www.sciencedirect.com/science/article/pii/S0016648022000351/pdfft?md5=216f6cf95a14dd2ab004fe5fdc75bacc&pid=1-s2.0-S0016648022000351-main.pdf,2022
"Surveillance of sand flies (Psychodidae, Phlebotominae) from Mexico: Altitudinal and climatic patterns after historical and new geographic records in endemic areas of leishmaniasis","Yokomi N. Lozano-Sardaneta, Jorge J. Rodríguez-Rojas, Atilano Contreras-Ramos",https://www.sciencedirect.com/science/article/pii/S0001706X24001529/pdfft?md5=52537ba90810b817d6a48ec2361c3a19&pid=1-s2.0-S0001706X24001529-main.pdf,2024
New metabolic signature for Chagas disease reveals sex steroid perturbation in humans and mice,"Makan Golizeh, John Nam, Momar Ndao",https://www.sciencedirect.com/science/article/pii/S2405844022036684/pdfft?md5=02e172b341c97bbaf3ab9a00ab8b80d6&pid=1-s2.0-S2405844022036684-main.pdf,2022
Infectious Disease Prophylaxis During and After Immunosuppressive Therapy,"Lorne Schweitzer, Benjamin A. Miko, Marcus R. Pereira",https://www.sciencedirect.com/science/article/pii/S2468024924016784/pdfft?md5=44da0a47ffef483f2f881057327affbd&pid=1-s2.0-S2468024924016784-main.pdf,2024
Expansion of viral genomes with viral protein genome linked copies,"Reid Warsaba, Nicolas Salcedo-Porras, Eric Jan",https://www.sciencedirect.com/science/article/pii/S004268222200188X/pdfft?md5=2165da656e3444562d232ae4e1b605a1&pid=1-s2.0-S004268222200188X-main.pdf,2022
Seroprevalence ofTrypanosoma cruziin Eight Blood Banks in Mexico,"Saúl González-Guzmán, Patricia González-Cano, Vladimir Paredes-Cervantes",https://www.sciencedirect.com/science/article/pii/S018844092200100X/pdfft?md5=7ec6b6927e73157e9b3cee7df0ecdd2c&pid=1-s2.0-S018844092200100X-main.pdf,2022
ExploringN-myristoyltransferase as a promising drug target against parasitic neglected tropical diseases,"Igor José dos Santos Nascimento, Misael de Azevedo Teotônio Cavalcanti, Ricardo Olimpio de Moura",https://www.sciencedirect.com/science/article/pii/S0223523423005160/pdfft?md5=6d164bba87ecc50170d6fdcff192fc5e&pid=1-s2.0-S0223523423005160-main.pdf,2023
Antiprotozoal compounds fromMikania periplocifolia(Asteraceae),"Laura C. Laurella, Orlando G. Elso, Valeria P. Sülsen",https://www.sciencedirect.com/science/article/pii/S0367326X23000746/pdfft?md5=2f1fbfb60c052a17fc9f6dfd999c4b2c&pid=1-s2.0-S0367326X23000746-main.pdf,2023
Chapter 20: Neglected Tropical Diseases & Atrial Fibrillation,"Laura Scott, Saad Balamane, Adrian Baranchuk",https://www.sciencedirect.com/science/article/pii/B9780323911221000027/pdfft?md5=cde99008dde09d50dc2e0359073c8d60&pid=3-s2.0-B9780323911221000027-main.pdf,2022
Thiazolidin-4-one-based derivatives – Efficient tools for designing antiprotozoal agents. A review of the last decade,"Helena Tuszewska, Jacek Szczepański, Nazar Trotsko",https://www.sciencedirect.com/science/article/pii/S0045206823000585/pdfft?md5=4c4973f7b63469d566e3a5c98a97bf49&pid=1-s2.0-S0045206823000585-main.pdf,2023
Trypanosoma cruzinitroreductase: Structural features and interaction with biological membranes,"Marília L. Cirqueira, Leandro O. Bortot, M. Cristina Nonato",https://www.sciencedirect.com/science/article/pii/S0141813022020050/pdfft?md5=8be37211ad9966d3774f67e0868b4373&pid=1-s2.0-S0141813022020050-main.pdf,2022
"Chapter 3: Epidemiology of disease through the interactions between humans, domestic animals, and wildlife",Mariana Marrana,https://www.sciencedirect.com/science/article/pii/B9780128227947000010/pdfft?md5=80c0274223cdc3bf90309a8aaf566074&pid=3-s2.0-B9780128227947000010-main.pdf,2022
"Aminoacyl-tRNA synthetase (AARS) as an attractive drug target in neglected tropical trypanosomatid diseases-Leishmaniasis, Human African Trypanosomiasis and Chagas disease","Vikas Kushwaha, Neena Capalash",https://www.sciencedirect.com/science/article/pii/S0166685122000640/pdfft?md5=2bd3843ffca7c9185f3125821c30dfe9&pid=1-s2.0-S0166685122000640-main.pdf,2022
Elucidating the structure-function attributes of a trypanosomal arginyl-tRNA synthetase,"Pratyasha Bhowal, Bappaditya Roy, Rajat Banerjee",https://www.sciencedirect.com/science/article/pii/S0166685123000555/pdfft?md5=b9847bd4d22d5fdbf68377d13e6d56e6&pid=1-s2.0-S0166685123000555-main.pdf,2023
Chapter 6: Saponins: A class of bioactive natural products with wide applications in human health,"Regildo Márcio Gonçalves da Silva, Sam Kacew, Filipe Oliveira Granero",No URL found,2024
Examination of multipleTrypanosoma cruzitargets in a new drug discovery approach for Chagas disease,"Iván Beltran-Hortelano, Verónica Alcolea, Silvia Pérez-Silanes",https://www.sciencedirect.com/science/article/pii/S096808962100585X/pdfft?md5=522148f64c3bc022eea063266565f8b0&pid=1-s2.0-S096808962100585X-main.pdf,2022
Chapter Two: Food- and vector-borne parasitic zoonoses: Global burden and impacts,"Anisuzzaman, Md. Shahadat Hossain, Md. Abdul Alim",https://www.sciencedirect.com/science/article/pii/S0065308X23000118/pdfft?md5=f74da1364a8d69902582621104fe46c7&pid=1-s2.0-S0065308X23000118-main.pdf,2023
"Structure-based design, synthesis and evaluation of a novel family of PEX5-PEX14 interaction inhibitors againstTrypanosoma","Valeria Napolitano, Piotr Mróz, Grzegorz Dubin",https://www.sciencedirect.com/science/article/pii/S0223523422006808/pdfft?md5=ad1ea5fe27759367698e0e7b61273651&pid=1-s2.0-S0223523422006808-main.pdf,2022
"The hormonal and neural control of egg production in the historically important model insect,Rhodnius prolixus: A review, with new insights in this post-genomic era","Angela B. Lange, Jimena Leyria, Ian Orchard",https://www.sciencedirect.com/science/article/pii/S0016648022000557/pdfft?md5=8f9ed41081913b241087270432a9a554&pid=1-s2.0-S0016648022000557-main.pdf,2022
Chapter 13: Evolution of Resistance to Insecticides in Disease Vectors,"Philippe Nwane, Achille Binyang, Josiane Etang",https://www.sciencedirect.com/science/article/pii/B9780443288180000069/pdfft?md5=db16420cfc411c491e6fa5a0b15796a1&pid=3-s2.0-B9780443288180000069-main.pdf,2024
Chapter 8: Panics and pandemics,Edward P. Rybicki,No URL found,2023
Drug associations as alternative and complementary therapy for neglected tropical diseases,"Leslie Raphael Moura Ferraz, Laysa Creusa Paes Barreto Barros Silva, Pedro José Rolim-Neto",https://www.sciencedirect.com/science/article/pii/S0001706X21003880/pdfft?md5=524196d8e21c78ede1289fbea4e6c8fc&pid=1-s2.0-S0001706X21003880-main.pdf,2022
Parasites of the Gastrointestinal Tract,"Blaine A. Mathison, Bobbi S. Pritt",https://www.sciencedirect.com/science/article/pii/B9780128187319001075/pdfft?md5=309290dfd07b62606a813e851ac2eb9e&pid=3-s2.0-B9780128187319001075-main.pdf,2022
Chapter 3: Specific Infectious Diseases,"Daniel S. Burns, Lucy Lamb",https://www.sciencedirect.com/science/article/pii/B9780323794121000035/pdfft?md5=9ea5896e02b65bd333f15bcb4b4186f4&pid=3-s2.0-B9780323794121000035-main.pdf,2023
