Paper Title,Year,Author,Citation,Publication,Url of paper
Modeling the hydraulic effectiveness of a proposed storm surge barrier system for the Houston ship channel during hurricane events,2015.0,J Christian,34,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)NH.1527-6996.0000150
Implementation of a neural network based surge prediction system for the Texas coast,2008.0,PE Tissot,2,ams.confex.com,https://ams.confex.com/ams/88Annual/techprogram/paper_135669.htm
Development of hurricane storm surge model to predict coastal highway inundation for South Texas,2018.0,SE Davila,2,scholarworks.utrgv.edu,https://scholarworks.utrgv.edu/eems_fac/186/
"Hindcast and validation of Hurricane Ike (2008) waves, forerunner, and storm surge",2013.0,ME Hope,213,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/jgrc.20314
[HTML][HTML] Potential impact of sea level rise on coastal surges in southeast Louisiana,2010.0,JMK Smith,154,Elsevier,https://www.sciencedirect.com/science/article/pii/S0029801809001784
[HTML][HTML] Surrogate modeling of joint flood risk across coastal watersheds,2018.0,B Bass,66,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022169418300143
[HTML][HTML] Characterization and prediction of tropical cyclone forerunner surge,2019.0,Y Liu,12,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383918301224
[BOOK][B] Development and application of coupled hurricane wave and surge models for southern Louisiana,2011.0,JC Dietrich,27,search.proquest.com,https://search.proquest.com/openview/ce12a42269340da3b1eae26090d1554a/1?pq-origsite=gscholar&cbl=18750
[HTML][HTML] Adaptive mesh refinement for storm surge,2014.0,KT Mandli,86,Elsevier,https://www.sciencedirect.com/science/article/pii/S1463500314000031
On the importance of the forward speed of hurricanes in storm surge forecasting: A numerical study,2009.0,JL Rego,168,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2008gl036953
On the receding of storm surge along Louisiana's low-lying coast,2009.0,JL Rego,40,JSTOR,https://www.jstor.org/stable/25737946
[HTML][HTML] Hurricane scenario generation for uncertainty modeling of coastal and inland flooding,2021.0,KY Kim,10,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fclim.2021.610680/full
Origin of the Hurricane Ike forerunner surge,2011.0,AB Kennedy,167,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2011GL047090
Uncertainty in hurricane surge simulation due to land cover specification,2014.0,CM Ferreira,40,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2013JC009604
"[HTML][HTML] Modeling hurricane waves and storm surge using integrally-coupled, scalable computations",2011.0,JC Dietrich,667,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383910001250
[HTML][HTML] Economic impacts of storm surge events: Examining state and national ripple effects,2021.0,M Davlasheridze,7,Springer,https://link.springer.com/article/10.1007/s10584-021-03106-z
[HTML][HTML] Characterizing the hydraulic interactions of hurricane storm surge and rainfall–runoff for the Houston–Galveston region,2015.0,JM Torres,76,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383915001520
"[HTML][HTML] A high-resolution coupled riverine flow, tide, wind, wind wave, and storm surge model for southern Louisiana and Mississippi. Part II: Synoptic description and …",2010.0,JC Dietrich,293,journals.ametsoc.org,https://journals.ametsoc.org/view/journals/mwre/138/2/2009mwr2907.1.xml
"Probabilistic risk assessment of coupled natural-physical-social systems: Cascading impact of hurricane-induced damages to civil infrastructure in Galveston, Texas",2021.0,E Fereshtehnejad,22,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)NH.1527-6996.0000459
Numerical modeling of historical storm tides and waves and their interactions along the US East and Gulf Coasts,2018.0,R Marsooli,85,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2017JC013434
Global warming and hurricanes: the potential impact of hurricane intensification and sea level rise on coastal flooding,2011.0,ME Mousavi,291,Springer,https://link.springer.com/article/10.1007/s10584-009-9790-0
[BOOK][B] Verification study of a bathystrophic storm surge model,1975.0,G Pararas-Carayannis,12,apps.dtic.mil,https://apps.dtic.mil/sti/citations/tr/ADA012799
"[HTML][HTML] Offshore transport of sediment during cyclonic storms: Hurricane Ike (2008), Texas Gulf Coast, USA",2010.0,JA Goff,77,pubs.geoscienceworld.org,https://pubs.geoscienceworld.org/segweb/geology/article/38/4/351/130238
Combined wind-wave-surge hurricane-induced damage prediction for buildings,2019.0,H Masoomi,37,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)ST.1943-541X.0002241
The Ike dike: a coastal barrier protecting the Houston/Galveston region from hurricane storm surge,2011.0,WJ Merrell,22,Springer,https://link.springer.com/chapter/10.1007/978-3-642-14779-1_31
[HTML][HTML] Regional attributes of hurricane surge response functions for hazard assessment,2012.0,YK Song,20,Springer,https://link.springer.com/article/10.1007/s11069-012-0309-z
"Preparing for the future impacts of megastorms on archaeological sites: An evaluation of flooding from Hurricane Harvey, Houston, Texas",2019.0,LA Reeder-Myers,16,cambridge.org,https://www.cambridge.org/core/journals/american-antiquity/article/preparing-for-the-future-impacts-of-megastorms-on-archaeological-sites-an-evaluation-of-flooding-from-hurricane-harvey-houston-texas/A071425AD1C69A33E763A61378C87260
[BOOK][B] Storm surge dynamics over wide continental shelves: Numerical experiments using the finite-volume coastal ocean model,2009.0,JL Rego,11,search.proquest.com,https://search.proquest.com/openview/9f0460c43da1be5027cf06123a12e26d/1?pq-origsite=gscholar&cbl=18750&diss=y
Hurricane surge risk reduction for Galveston Bay,2013.0,KJ Stoeten,19,repository.tudelft.nl,https://repository.tudelft.nl/islandora/object/uuid:3239a90e-42ef-485b-a73a-d39a99c1611a
Storm surge simulations of hurricane Ike (2008): its impact in Louisiana and Texas,2010.0,C Forbes,6,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/41121(388)41
"[HTML][HTML] Storm flooding sensitivity to sea level rise for Galveston Bay, Texas",2012.0,NN Warner,61,Elsevier,https://www.sciencedirect.com/science/article/pii/S0029801812000261
The combined risk of extreme tropical cyclone winds and storm surges along the US Gulf of Mexico Coast,2017.0,JC Trepanier,14,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2016JD026180
Numerical computations of storm surges without bottom stress,1966.0,CP Jelesnianski,190,journals.ametsoc.org,https://journals.ametsoc.org/view/journals/mwre/94/6/1520-0493_1966_094_0379_ncossw_2_3_co_2.xml
Probabilistic hurricane surge forecasting using parameterized surge response functions,2011.0,JL Irish,42,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2010GL046347
Cost-benefit analysis of a proposed coastal infrastructure for reducing storm surge-induced impact in the Upper Texas Coast,2022.0,M Davlasheridze,0,Elsevier,https://www.sciencedirect.com/science/article/pii/B9780323852517000081
A storm surge database for the US Gulf Coast,2012.0,HF Needham,95,Library,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/joc.2425
[HTML][HTML] The impacts of tidal wetland loss and coastal development on storm surge damages to people and property: a Hurricane Ike case-study,2023.0,Z Al-Attabi,0,nature.com,https://www.nature.com/articles/s41598-023-31409-x
[PDF][PDF] Hurricane induced wave and surge forces on bridge decks,2010.0,RL McPherson,94,core.ac.uk,https://core.ac.uk/download/pdf/4278275.pdf
[HTML][HTML] A surge response function approach to coastal hazard assessment. Part 2: Quantification of spatial attributes of response functions,2009.0,JL Irish,116,Springer,https://link.springer.com/article/10.1007/s11069-009-9381-4
Coastal flood simulation in stretched coordinates,1978.0,HL Butler,29,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/9780872621909.062
[HTML][HTML] Economic impacts of storm surge and the cost-benefit analysis of a coastal spine as the surge mitigation strategy in Houston-Galveston area in the USA,2019.0,M Davlasheridze,37,Springer,https://link.springer.com/article/10.1007/s11027-018-9814-z
[HTML][HTML] Joint distribution model for prediction of hurricane wind speed and size,2012.0,Y Wang,54,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167473011000920
Impacts of hurricane storm surge on infrastructure vulnerability for an evolving coastal landscape,2018.0,KA Anarde,46,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)NH.1527-6996.0000265
[HTML][HTML] Development and uncertainty quantification of hurricane surge response functions for hazard assessment in coastal bays,2015.0,NR Taylor,26,Springer,https://link.springer.com/article/10.1007/s11069-015-1646-5
Guiding Surge Reduction Strategies via Characterization of Coastal Surge Propagation and Internal Surge Generation within a Complex Bay/Estuary System …,2015.0,B Bass,0,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2015AGUFMNH51C1909B/abstract
[PDF][PDF] Integrated Modeling and Mapping for Coastal Resiliency: Informing the 2023 Texas Coastal Resiliency Master Plan (TCRMP),2023.0,M Subedee,0,researchgate.net,https://www.researchgate.net/profile/Mukesh-Subedee/publication/371864670_Integrated_Modeling_and_Mapping_for_Coastal_Resiliency_Informing_the_2023_Texas_Coastal_Resiliency_Master_Plan_TCRMP/links/64999874c41fb852dd3472b0/Integrated-Modeling-and-Mapping-for-Coastal-Resiliency-Informing-the-2023-Texas-Coastal-Resiliency-Master-Plan-TCRMP.pdf
[BOOK][B] Hurricane Surge Frequency Estimated for the Gulf Coast of Texas,1969.0,BR Bodine,27,books.google.com,"https://books.google.com/books?hl=en&lr=&id=Fkm-mh0nT2QC&oi=fnd&pg=PA1&dq=Coastal+Surge,+model,++texas&ots=FPjwlIfj3Q&sig=QgRqEFvnQ-j3rVFyreezJe3nkjw"
Arc StormSurge: Integrating hurricane storm surge modeling and GIS,2014.0,CM Ferreira,21,Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jawr.12127
[HTML][HTML] Large-scale hurricane modeling using domain decomposition parallelization and implicit scheme implemented in WAVEWATCH III wave model,2020.0,A Abdolali,43,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383919305757
[HTML][HTML] Impact of coastal hazards on residents' spatial accessibility to health services,2019.0,GP Balomenos,15,ascelibrary.org,https://ascelibrary.org/doi/full/10.1061/(ASCE)IS.1943-555X.0000509
[HTML][HTML] Quantification of continuous flood hazard using random forest classification and flood insurance claims at large spatial scales: a pilot study in southeast Texas,2021.0,W Mobley,33,nhess.copernicus.org,https://nhess.copernicus.org/articles/21/807/2021/
[PDF][PDF] Extreme hurricane surge estimation for Texas coastal bridges using dimensionless surge response functions,2010.0,YK Song,1,oaktrust.library.tamu.edu,https://oaktrust.library.tamu.edu/bitstream/handle/1969.1/ETD-TAMU-2009-08-7065/SONG-THESIS.pdf?sequence=3&isAllowed=y
Modelling sea level rise impacts on storm surges along US coasts,2012.0,C Tebaldi,530,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1748-9326/7/1/014032/meta
"The influence of coastal wetlands on hurricane surge in Corpus Christi, TX",2010.0,C Ferreira,0,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2010AGUFMNH51B1231F/abstract
[HTML][HTML] The dimensions of individual support for coastal hazard mitigation: analysis of a survey of upper Texas coast residents,2022.0,AD Ross,3,ascelibrary.org,https://ascelibrary.org/doi/full/10.1061/(ASCE)NH.1527-6996.0000544
[HTML][HTML] Applying a Bayesian network based on Gaussian copulas to model the hydraulic boundary conditions for hurricane flood risk analysis in a coastal watershed,2017.0,A Sebastian,33,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383916302198
Scalability of an unstructured grid continuous Galerkin based hurricane storm surge model,2011.0,S Tanaka,92,Springer,https://link.springer.com/article/10.1007/s10915-010-9402-1
Building destruction from waves and surge on the Bolivar Peninsula during Hurricane Ike,2011.0,A Kennedy,81,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)WW.1943-5460.0000061
Real-time storm surge prediction for bays on the Texas Gulf coast,1999.0,SW Kelley,0,oaktrust.library.tamu.edu,https://oaktrust.library.tamu.edu/handle/1969.1/ETD-TAMU-1999-THESIS-K459
[PDF][PDF] Catastrophe model based quantification of riverine and storm surge flood risk in Texas,2013.0,J Czajkowski,3,Citeseer,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5638f18fa41a7e5799fb659bddb1a9cbaa0474b3
Implications from the comparisons between two‐and three‐dimensional model simulations of the Hurricane Ike storm surge,2013.0,L Zheng,55,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/jgrc.20248
[BOOK][B] Geospatial Analysis of Potential Flooding from Storm Surge and Sea-Level Change on the Texas Coast by 2100,2020.0,G Prykhodko,0,search.proquest.com,https://search.proquest.com/openview/48f3218b4e0ab6a003fbaf9e182d9255/1?pq-origsite=gscholar&cbl=18750&diss=y
[HTML][HTML] Machine-Learning-Based Model for Hurricane Storm Surge Forecasting in the Lower Laguna Madre,2023.0,C Davila,0,mdpi.com,https://www.mdpi.com/1999-4893/16/5/232
On the generation of high‐resolution probabilistic design events capturing the joint occurrence of rainfall and storm surge in coastal basins,2023.0,H Kim,8,Library,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/joc.7825
Coastal Bridges under Hurricane Stresses along the Texas and Louisiana Coast,2018.0,A Matamoros,2,digitalcommons.lsu.edu,https://digitalcommons.lsu.edu/transet_pubs/29/
Assessment and monetary valuation of the storm protection function of beaches and foredunes on the Texas coast,2015.0,EB Taylor,28,meridian.allenpress.com,https://meridian.allenpress.com/jcr/article-abstract/31/5/1205/144868
Texas Coast Hurricane Flood Protection Studies,1967.0,CL Pawlik,2,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/JYCEAJ.0001704
"Sensitivity of hurricane storm surge numerical simulations to wetland parameters in Corpus Christi, TX",2011.0,C Ferreira,1,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/41173(414)329
[HTML][HTML] Potential impacts of the Sunderban mangrove degradation on future coastal flooding in Bangladesh,2017.0,M Deb,43,Elsevier,https://www.sciencedirect.com/science/article/pii/S1570644316303616
Modeling potential coastal vegetation response to sea level rise and storm surge on estuarine peninsulas,2012.0,RG March,6,meridian.allenpress.com,https://meridian.allenpress.com/jcr/article-abstract/28/5/993/144271
[HTML][HTML] Measuring the impact of mitigation activities on flood loss reduction at the parcel level: the case of the clear creek watershed on the upper Texas coast,2014.0,WE Highfield,49,Springer,https://link.springer.com/article/10.1007/s11069-014-1209-1
[HTML][HTML] A modeling study of the physical processes affecting the development of seasonal hypoxia over the inner Louisiana-Texas shelf: Circulation and stratification,2009.0,L Wang,87,Elsevier,https://www.sciencedirect.com/science/article/pii/S0278434309001290
Estimating residential property loss reduction from a proposed coastal barrier system in the Houston-Galveston region,2018.0,KO Atoba,19,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)NH.1527-6996.0000297
Development and validation of a coastal surge and inundation prediction system,2012.0,A Condon,6,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6404834/
[PDF][PDF] Rapid probabilistic hurricane surge and damage forecasting using surge response functions,2010.0,JL Irish,1,researchgate.net,https://www.researchgate.net/profile/Francisco-Olivera/publication/49115556_RAPID_PROBABILISTIC_HURRICANE_SURGE_AND_DAMAGE_FORECASTING_USING_SURGE_RESPONSE_FUNCTIONS/links/02e7e520b0db41269a000000/RAPID-PROBABILISTIC-HURRICANE-SURGE-AND-DAMAGE-FORECASTING-USING-SURGE-RESPONSE-FUNCTIONS.pdf
[HTML][HTML] Tropical cyclone wind field forcing for surge models: Critical issues and sensitivities,2009.0,VJ Cardone,88,Springer,https://link.springer.com/article/10.1007/s11069-009-9369-0
Defining flood zone transitions in low‐gradient coastal regions,2018.0,MV Bilskie,94,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2018GL077524
"Analysis of damage caused by hydrometeorological disasters in Texas, 1960–2016",2018.0,SH Paul,25,mdpi.com,https://www.mdpi.com/2076-3263/8/10/384
[HTML][HTML] The potential of wetlands in reducing storm surge,2010.0,TV Wamsley,371,Elsevier,https://www.sciencedirect.com/science/article/pii/S002980180900184X
"Lower Cretaceous shelf storm deposits, northeast Texas",1984.0,DK Hobday,46,pubs.geoscienceworld.org,https://pubs.geoscienceworld.org/sepm/books/book/1089/chapter-standard/10548402/Lower-Cretaceous-Shelf-Storm-Deposits-Northeast
[BOOK][B] A Texan plan for the Texas coast,2017.0,JB Blackburn,8,books.google.com,"https://books.google.com/books?hl=en&lr=&id=rmowDwAAQBAJ&oi=fnd&pg=PT7&dq=Coastal+Surge,+model,++texas&ots=PUoGcYeluE&sig=1bAkxJTNbB4Tw-nAZYmZQAfMzQo"
"Coastal erosion, global sea‐level rise, and the loss of sand dune plant habitats",2005.0,RA Feagin,368,Library,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/1540-9295(2005)003[0359:CEGSRA]2.0.CO;2
The flushing of Louisiana's coastal bays under Hurricane conditions,2009.0,JL Rego,5,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/41121(388)6
"[HTML][HTML] An outflow event on the left side of Hurricane Harvey: Erosion of barrier sand and seaward transport through Aransas Pass, Texas",2019.0,JA Goff,21,Elsevier,https://www.sciencedirect.com/science/article/pii/S0169555X19300807
[PDF][PDF] Coastal hazards atlas of Texas: a tool for hurricane preparedness and coastal management-volume 3: the southeast coast,2003.0,JC Gibeaut,5,Citeseer,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=27cad16d0522f75d6472d5f609bd2eb68e15465a
Real-time forecasting and visualization of hurricane waves and storm surge using SWAN+ ADCIRC and FigureGen,2013.0,JC Dietrich,70,Springer,https://link.springer.com/chapter/10.1007/978-1-4614-7434-0_3
"A sediment-dispersal model for the south Texas continental shelf, northwest Gulf of Mexico",1978.0,GL Shideler,34,Elsevier,https://www.sciencedirect.com/science/article/pii/0025322778900646
Storm-and fairweather combined flow on the central Texas continental shelf,1988.0,JW Snedden,237,pubs.geoscienceworld.org,https://pubs.geoscienceworld.org/sepm/jsedres/article-abstract/58/4/580/98042
[PDF][PDF] Parameterization of Hurricane Surge for the State of Texas Coastline,2009.0,JL Irish,0,glo.texas.gov,https://glo.texas.gov/coastal-grants/_documents/grant-project/08-009-final-report.pdf
[PDF][PDF] Sea Level Rise and Storm Surge Modeling in support of the 2019 Texas Coastal Resiliency Master Plan (TCRMP),2019.0,M Subedee,0,researchgate.net,https://www.researchgate.net/profile/Mukesh-Subedee/publication/354934745_Sea_Level_Rise_and_Storm_Surge_Modeling_in_support_of_the_2019_Texas_Coastal_Resiliency_Master_Plan_TCRMP/links/6154c894fd7b3d121563242c/Sea-Level-Rise-and-Storm-Surge-Modeling-in-support-of-the-2019-Texas-Coastal-Resiliency-Master-Plan-TCRMP.pdf
Dynamic modeling of surface runoff and storm surge during hurricane and tropical storm events,2018.0,WF Silva-Araya,38,mdpi.com,https://www.mdpi.com/2306-5338/5/1/13
Surge and wave modeling for the Louisiana 2012 Coastal Master Plan,2013.0,Z Cobell,51,meridian.allenpress.com,https://meridian.allenpress.com/jcr/article-abstract/doi/10.2112/SI_67_7/177822
Analysis of Maximum Probable Storm Surge at the South Texas Project Site,,JR Bailey,0,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/9780784413548.142
Assessing compound flooding potential with multivariate statistical models in a complex estuarine system under data constraints,2021.0,VM Santos,24,Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/JFR3.12749
[HTML][HTML] Development of a storm surge driven water quality model to simulate spills during hurricanes,2018.0,A Kiaghadi,10,Elsevier,https://www.sciencedirect.com/science/article/pii/S0025326X17309098
[BOOK][B] Storm Surge Simulation in Transformed Coordinates Volume II: Program Documentation,1976.0,"…, TEXAS",3,apps.dtic.mil,https://apps.dtic.mil/sti/citations/ADA034651
[HTML][HTML] Modeling hurricane-induced wetland-bay and bay-shelf sediment fluxes,2018.0,K Liu,42,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383917303666
"[PDF][PDF] Coastal Master Plan: Model Improvement Plan, Storm Surge and Waves (Subtask 8)",2023.0,Z Cobell,7,coastal.la.gov,https://coastal.la.gov/wp-content/uploads/2021/03/StormSurge_Waves_Report_Jan2021.pdf
[HTML][HTML] Exploration of spatial-temporal varying impacts on COVID-19 cumulative case in Texas using geographically weighted regression (GWR),2021.0,X Wu,34,Springer,https://link.springer.com/article/10.1007/s11356-021-13653-8
Storm surge analysis using numerical and statistical techniques and comparison with NWS model SLOSH,2005.0,M Aggarwal,7,oaktrust.library.tamu.edu,https://oaktrust.library.tamu.edu/handle/1969.1/2723
"Evaluating the benefits of green infrastructure for coastal areas: location, location, location",2016.0,MH Ruckelshaus,74,Francis,https://www.tandfonline.com/doi/abs/10.1080/08920753.2016.1208882
"[PDF][PDF] Informing conservation planning using sea‐level rise and storm surge impact estimates in the Galveston Bay and Jefferson County, Texas area",2012.0,B Gilmer,5,Citeseer,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d2f8366a049075b56b71888596e7735d4a9f6324
"Case study results from southeast Houston, Texas: identifying the impacts of residential location on flood risk and loss",2018.0,SD Brody,42,Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jfr3.12184
"[PDF][PDF] E ect of sea level rise and land cover change on future storm surge impacts in the Galveston Bay, Texas region",,M Subedee,1,agu.confex.com,https://agu.confex.com/agu/os18/mediafile/Handout/Paper313544/Subedee_Dotson_Gibeaut_2018OSM.pdf
Modeling tidal datums and spatially varying uncertainty in the Texas and western Louisiana coastal waters,2019.0,W Wu,1,mdpi.com,https://www.mdpi.com/2077-1312/7/2/44
[HTML][HTML] Reconstruction of Hurricane Katrina's wind fields for storm surge and wave hindcasting,2010.0,MD Powell,151,Elsevier,https://www.sciencedirect.com/science/article/pii/S0029801809002121
Operational Prediction of Hurricane Induced Coastal Surge and Inundation,2016.0,J Veeramony,0,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2016AGUOSPO12B..06V/abstract
Meso-scale transfer of sand during and after storms: implications for prediction of shoreline movement,1995.0,RA Morton,199,Elsevier,https://www.sciencedirect.com/science/article/pii/0025322795000716
A dynamic hydraulic floodplain map prediction tool for flood alert in a coastal urban watershed considering storm surge issues,2008.0,Z Fang,2,scholarship.rice.edu,https://scholarship.rice.edu/handle/1911/22228
"Analysis of flood vulnerability and transit availability with a changing climate in Harris County, Texas",2019.0,JA Pulcinella,11,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0361198119839346
[BOOK][B] Robust hurricane surge response functions,2012.0,IE Udoh,7,search.proquest.com,https://search.proquest.com/openview/38cfa1aefbf53c4e47b786f6d5f4e1f0/1?pq-origsite=gscholar&cbl=18750
[HTML][HTML] Projected climate change impacts on hurricane storm surge inundation in the coastal United States,2020.0,J Camelo,24,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fbuil.2020.588049/full?utm_source=mp-fotoscapes
"Estimated Increase in Inundation Probability with Confidence Intervals for Galveston, Texas",2012.0,N Warner,3,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/9780784412411.00031
[HTML][HTML] A scenario-based optimization approach for electric grid substation hardening against storm surge flooding,2021.0,A Shukla,7,search.proquest.com,https://search.proquest.com/openview/d0c41d377871b42db63ee38ed1bc5583/1?pq-origsite=gscholar&cbl=51908
Numerical Evaluation for Coastal Community Storm Surge Flood Control Infrastructure,2018.0,SE Davila,0,preprints.org,https://www.preprints.org/manuscript/201810.0439
Effect of coupling wave and flow dynamics on hurricane surge and inundation,2012.0,J Veeramony,4,onepetro.org,https://onepetro.org/ISOPEIOPEC/proceedings-abstract/ISOPE12/All-ISOPE12/12982
[BOOK][B] The influence of coastal wetlands on hurricane surge and damage with application to planning under climate change,2012.0,CM Ferreira,2,search.proquest.com,https://search.proquest.com/openview/29683c46a49d2b79efdf30c3dc7e3ba2/1?pq-origsite=gscholar&cbl=18750
Assessing the potential for compound storm surge and extreme river discharge events at the catchment scale with statistical models: sensitivity analysis and …,2022.0,R Jane,5,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)HE.1943-5584.0002154
"Modern shoreface and inner-shelf storm deposits off the east Texas coast, Gulf of Mexico",1994.0,FP Siringan,79,pubs.geoscienceworld.org,https://pubs.geoscienceworld.org/sepm/jsedres/article-abstract/64/2b/99/98575
